	Cu source	Cu source SMILE	Ligand	Ligand SMILE	Ligand equiv.	Base	Base SMILE	Base equiv.	Solvent	Solvent SMILE	Molarity	T [°C]	BnNH2 equiv.	Yield of 3aa	Conversion of 1a	Acquisition type
219	Cu2O	[Cu]O[Cu]	L5	CC(C)C(=O)2CCCc1cccnc12	0.05	K3PO4	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1.0	ACN	CC#N	1.0	80	1.5	7.33	21.98	UCB
220	CuBr	Br[Cu]	L5	CC(C)C(=O)2CCCc1cccnc12	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	0.5	2Me-THF	O1C(C)CCC1	1.0	60	1.5	23.59	56.79	UCB
221	Cu2O	[Cu]O[Cu]	L10	Cc1cccc(C)c1NC(=O)C(=O)O	0.05	KOH	[K+].[OH-]	2.0	ACN	CC#N	0.5	60	1.1	2.9	56.73	UCB
222	CuI	[Cu]I	L9	O=n2cccc1cccc(O)c12	0.1	K3PO4	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1.0	DMSO	CS(=O)C	0.5	60	1.1	56.48	80.62	UCB
223	Cu2O	[Cu]O[Cu]	L7	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	K3PO4	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1.0	DMSO	CS(=O)C	0.5	80	1.5	42.81	57.96	UCB
224	Cu2O	[Cu]O[Cu]	L12	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	2.0	DMSO	CS(=O)C	1.0	80	1.5	78.18	98.86	UCB
225	CuBr	Br[Cu]	L9	O=n2cccc1cccc(O)c12	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	2.0	iBuOH	CC(C)CO	0.5	80	1.5	21.94	56.58	UCB
226	CuBr	Br[Cu]	L12	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.05	NaOtBu	[Na+].[O-]C(C)(C)C	2.0	PhMe	Cc1ccccc1	0.5	80	1.5	18.17	63.16	UCB
227	CuCl	Cl[Cu]	L8	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.05	NaOtBu	[Na+].[O-]C(C)(C)C	1.0	DMSO	CS(=O)C	1.0	80	1.5	10.49	94.19	UCB
228	Cu2O	[Cu]O[Cu]	L6	CCN(CC)C(=O)c1ccccc1O	0.1	TBAO	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2.0	DMSO	CS(=O)C	1.0	60	1.5	25.92	56.53	UCB
229	CuCl	Cl[Cu]	L11	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.05	TBAO	[I-].CCCC[N+](CCCC)(CCCC)CCCC	1.0	ACN	CC#N	0.5	80	1.5	9.79	41.04	UCB
230	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L6	CCN(CC)C(=O)c1ccccc1O	0.1	K3PO4	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1.0	ACN	CC#N	0.5	80	1.1	5.45	46.02	UCB
231	CuCl	Cl[Cu]	L9	O=n2cccc1cccc(O)c12	0.05	TBAO	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	iBuOH	CC(C)CO	0.5	60	1.1	11.74	32.22	UCB
232	Cu2O	[Cu]O[Cu]	L12	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	2.0	DMSO	CS(=O)C	0.5	80	1.5	70.23	100.0	UCB
233	Cu2O	[Cu]O[Cu]	L3	C1CCC(C(C1)N)N	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	2.0	DMSO	CS(=O)C	1.0	80	1.1	24.1	43.03	UCB
234	CuI	[Cu]I	L11	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.05	K2CO3	C(=O)([O-])[O-].[K+].[K+]	2.0	iBuOH	CC(C)CO	1.0	60	1.5	51.88	82.8	UCB
235	CuCl	Cl[Cu]	L1	OCCO	0.05	Et3N	CCN(CC)CC	2.0	PhMe	Cc1ccccc1	0.5	80	1.1	1.86	31.57	UCB
236	CuI	[Cu]I	L7	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	0.5	ACN	CC#N	1.0	60	1.1	10.83	30.43	UCB
237	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L11	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.05	Cs2CO3	[Cs+].[Cs+].[O-]C([O-])=O	0.5	EtOH	OCC	0.5	80	1.5	52.42	74.29	UCB
238	Cu2O	[Cu]O[Cu]	L7	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	NaOtBu	[Na+].[O-]C(C)(C)C	1.0	EtOH	OCC	1.0	80	1.1	38.37	100.0	UCB
239	CuI	[Cu]I	L8	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	2.0	DMSO	CS(=O)C	0.5	80	1.1	47.07	65.46	UCB
240	Cu2O	[Cu]O[Cu]	L12	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.1	KOH	[K+].[OH-]	2.0	DMSO	CS(=O)C	0.5	80	1.1	9.57	100.0	UCB
241	Cu2O	[Cu]O[Cu]	L11	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	1.0	DMSO	CS(=O)C	1.0	80	1.5	71.22	100.0	UCB
242	CuI	[Cu]I	L11	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.05	KOH	[K+].[OH-]	0.5	DMSO	CS(=O)C	1.0	60	1.5	38.58	54.59	UCB
243	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L10	Cc1cccc(C)c1NC(=O)C(=O)O	0.05	K3PO4	[K+].[K+].[K+].[O-]P([O-])([O-])=O	0.5	ACN	CC#N	1.0	80	1.1	49.85	71.92	UCB
244	CuI	[Cu]I	L8	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	2.0	PhMe	Cc1ccccc1	0.5	80	1.5	26.13	42.86	UCB
245	Cu2O	[Cu]O[Cu]	L7	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	0.5	DMSO	CS(=O)C	1.0	60	1.5	59.25	88.01	UCB
246	CuI	[Cu]I	L5	CC(C)C(=O)2CCCc1cccnc12	0.1	NaOtBu	[Na+].[O-]C(C)(C)C	2.0	iBuOH	CC(C)CO	0.5	80	1.5	0.77	100.0	UCB
247	CuBr	Br[Cu]	L11	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.05	NaOAc	[Na+].[O-]C(=O)C	1.0	PhMe	Cc1ccccc1	0.5	80	1.5	10.72	37.66	UCB
248	Cu2O	[Cu]O[Cu]	L10	Cc1cccc(C)c1NC(=O)C(=O)O	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	2.0	DMSO	CS(=O)C	0.5	80	1.5	63.53	93.96	UCB
249	Cu2O	[Cu]O[Cu]	L7	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	1.0	DMSO	CS(=O)C	1.0	80	1.1	45.67	97.86	UCB
250	CuI	[Cu]I	L1	OCCO	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	2.0	DMSO	CS(=O)C	0.5	60	1.5	42.19	62.02	UCB
251	CuBr	Br[Cu]	L11	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	1.0	EtOH	OCC	1.0	80	1.1	61.66	87.63	UCB
252	CuI	[Cu]I	L1	OCCO	0.1	KOH	[K+].[OH-]	0.5	DMSO	CS(=O)C	0.5	60	1.5	8.41	45.29	UCB
253	CuCl	Cl[Cu]	L1	OCCO	0.1	KOH	[K+].[OH-]	2.0	EtOH	OCC	0.5	60	1.5	0.0	100.0	UCB
254	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L11	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	0.5	ACN	CC#N	1.0	80	1.1	43.53	54.23	UCB
255	CuBr	Br[Cu]	L12	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.1	NaOAc	[Na+].[O-]C(=O)C	0.5	EtOH	OCC	1.0	60	1.1	10.83	16.64	UCB
256	CuI	[Cu]I	L12	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.05	K2CO3	C(=O)([O-])[O-].[K+].[K+]	2.0	DMSO	CS(=O)C	1.0	80	1.5	74.9	83.78	UCB
257	CuBr	Br[Cu]	L12	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.05	K2CO3	C(=O)([O-])[O-].[K+].[K+]	2.0	DMSO	CS(=O)C	0.5	80	1.5	67.8	76.69	UCB
258	CuBr	Br[Cu]	L2	CN(C)CCO	0.05	K3PO4	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2.0	DMSO	CS(=O)C	0.5	60	1.5	8.12	30.93	UCB
259	CuI	[Cu]I	L2	CN(C)CCO	0.1	Cs2CO3	[Cs+].[Cs+].[O-]C([O-])=O	0.5	2Me-THF	O1C(C)CCC1	1.0	80	1.1	3.73	21.67	UCB
260	CuCl	Cl[Cu]	L10	Cc1cccc(C)c1NC(=O)C(=O)O	0.05	K2CO3	C(=O)([O-])[O-].[K+].[K+]	1.0	2Me-THF	O1C(C)CCC1	0.5	80	1.5	1.18	1.07	UCB
261	CuBr	Br[Cu]	L2	CN(C)CCO	0.05	KOH	[K+].[OH-]	2.0	iBuOH	CC(C)CO	1.0	60	1.5	0.0	100.0	UCB
262	CuCl	Cl[Cu]	L5	CC(C)C(=O)2CCCc1cccnc12	0.05	Et3N	CCN(CC)CC	1.0	PhMe	Cc1ccccc1	0.5	80	1.1	0.45	17.05	UCB
263	CuCl	Cl[Cu]	L2	CN(C)CCO	0.1	Cs2CO3	[Cs+].[Cs+].[O-]C([O-])=O	1.0	iBuOH	CC(C)CO	1.0	60	1.5	4.74	55.1	UCB
