Cu source	Ligand	Ligand equiv.	Base	Base equiv.	Solvent	Molarity	T [°C]	BnNH2 equiv.	Yield of 3aa	Conversion of 1a	Round	Acquisition type
CuCl	L1	0.05	Cs2CO3	1	2Me-THF	1	60	1.1	0	16.97	0	EI
Cu2O	L9	0.1	NaOtBu	2	2Me-THF	1	60	1.5	0	63.52	0	EI
CuI	L3	0.1	TBAO	2	EtOH	1	80	1.5	26.60	92.93	1	EI
Cu2O	L3	0.1	TBAO	0.5	EtOH	0.5	80	1.5	33.96	90.54	1	EI
Cu2O	L3	0.05	TBAO	2	EtOH	1	80	1.5	27.45	81.37	1	EI
Cu2O	L3	0.1	TBAO	2	EtOH	1	80	1.1	17.66	65.64	1	EI
Cu2O	L3	0.1	TBAO	2	ACN	1	80	1.5	23.16	44.10	1	EI
Cu2O	L3	0.1	TBAO	2	EtOH	1	60	1.5	30.84	72.21	1	EI
Cu2O	L3	0.1	KOH	2	EtOH	1	80	1.5	0.00	100.00	1	EI
Cu2O	L4	0.1	TBAO	2	EtOH	1	80	1.5	34.85	80.37	1	EI
CuCl	L4	0.05	TBAO	0.5	EtOH	0.5	60	1.5	7.34	16.53	2	EI
Cu2O	L4	0.1	TBAO	0.5	iBuOH	0.5	60	1.5	34.88	66.89	2	EI
Cu2O	L7	0.05	TBAO	0.5	EtOH	0.5	60	1.5	34.51	67.21	2	EI
CuBr	L4	0.1	TBAO	1	EtOH	0.5	60	1.5	19.41	88.32	2	EI
Cu2O	L4	0.1	TBAO	0.5	EtOH	1	60	1.5	45.36	80.93	2	EI
Cu2O	L4	0.1	TBAO	0.5	EtOH	0.5	80	1.5	30.09	75.47	2	EI
Cu2O	L4	0.1	TBAO	2	EtOH	0.5	60	1.5	29.43	81.96	2	EI
Cu2O	L6	0.1	TBAO	0.5	EtOH	0.5	60	1.5	33.06	90.10	2	EI
Cu2O	L7	0.1	Et3N	0.5	DMSO	1	60	1.1	29.21	39.95	3	EI
Cu2O	L7	0.1	TBAO	0.5	2Me-THF	1	60	1.5	31.03	66.33	3	EI
Cu2O	L9	0.1	KOH	0.5	EtOH	1	60	1.5	5.53	32.74	3	EI
Cu2O	L10	0.1	TBAO	0.5	PhMe	1	60	1.5	21.86	42.92	3	EI
Cu2O	L8	0.1	TBAO	0.5	EtOH	1	60	1.1	35.92	69.49	3	EI
Cu2O	L4	0.1	TBAO	0.5	ACN	1	60	1.5	27.06	65.06	3	EI
Cu2O	L5	0.1	TBAO	0.5	EtOH	1	60	1.5	42.58	70.40	3	EI
Cu2O	L4	0.1	NaOtBu	0.5	EtOH	1	60	1.5	16.72	67.95	3	EI
CuI	L5	0.05	TBAO	2	EtOH	1	80	1.1	22.05	13.63	4	EI
Cu(OAc)2	L5	0.1	TBAO	0.5	EtOH	0.5	60	1.1	22.27	59.65	4	EI
Cu2O	L5	0.1	TBAO	0.5	DMSO	1	80	1.1	29.01	78.60	4	EI
Cu2O	L5	0.1	TBAO	2	EtOH	1	60	1.1	22.73	63.54	4	EI
CuCl	L5	0.1	TBAO	0.5	EtOH	1	60	1.5	44.64	82.85	4	EI
Cu2O	L5	0.05	TBAO	0.5	EtOH	1	60	1.1	27.59	80.38	4	EI
Cu2O	L5	0.1	TBAO	0.5	EtOH	0.5	80	1.5	21.14	68.63	4	EI
Cu2O	L5	0.1	TBAO	0.5	iBuOH	1	60	1.5	24.18	24.76	4	EI
CuCl	L7	0.1	NaOtBu	0.5	EtOH	1	60	1.5	30.29	42.79	5	EI
